lsoa_id,lsoa_name,population_effective,fuel_poverty_rate_effective,deprivation_score,income_effective,base_demand_kw,asset_total_mw,ec_count,active,fuel_poor_households_proxy
E01016825,E01016825,1459,0.0579,13.61,65264,273946.85609015124,0.0,0.0,False,84.4761
E01016826,E01016826,1317,0.0355,2.833,69575,246455.0628471442,0.0,0.0,False,46.753499999999995
E01016827,E01016827,1679,0.0434,14.619,65264,241797.5543272952,0.0,0.0,False,72.8686
E01016828,E01016828,1667,0.0385999999999999,8.114,65264,275414.91095453745,0.0,0.0,False,64.34619999999983
E01016829,E01016829,1609,0.1036,23.355,56546,211202.9633605307,0.0,0.0,False,166.6924
E01016830,E01016830,1215,0.0399,10.051,56282,177206.64851598174,0.0,0.0,False,48.4785
E01016831,E01016831,1506,0.0785,14.08,56546,245139.7389493973,0.0,0.0,False,118.221
E01016832,E01016832,1267,0.0901,18.58,56546,172988.43523903974,0.0,0.0,False,114.1567
E01016833,E01016833,1235,0.0511,6.92,56546,240755.30186952613,0.0,0.0,False,63.1085
E01016834,E01016834,1674,0.1047,29.165,56546,230148.59508383847,0.0,0.0,False,175.2678
E01016835,E01016835,1834,0.1124,34.611,49056,281996.21152281854,0.0,0.0,False,206.1416
E01016836,E01016836,1756,0.1246,12.87,56643,222473.22019986509,0.0,0.0,False,218.79760000000002
E01016837,E01016837,1890,0.1341,17.471,56643,273569.57458579727,0.0,0.0,False,253.44899999999998
E01016838,E01016838,1633,0.1332,17.566,56643,230888.96696671416,0.0,0.0,False,217.51560000000003
E01016839,E01016839,1935,0.1153,41.421,45500,238951.20048905845,0.0,0.0,False,223.1055
E01016841,E01016841,2613,0.099,18.676,56643,371727.42920191144,0.0,0.0,False,258.687
E01016842,E01016842,1550,0.1551,57.097,46118,194672.57126718565,0.0,0.0,False,240.40499999999997
E01016843,E01016843,1690,0.1515,53.152,46118,217128.4875009357,0.0,0.0,False,256.03499999999997
E01016844,E01016844,1716,0.1614,63.165,46118,277347.8690944931,0.0,0.0,False,276.9624
E01016845,E01016845,1811,0.1351,54.004,42459,257509.08201649337,0.0,0.0,False,244.6661
E01016846,E01016846,1703,0.1015,24.898,42459,188343.08258352647,0.0,0.0,False,172.8545
E01016847,E01016847,2233,0.1009999999999999,45.581,45395,289194.2321580958,0.0,0.0,False,225.53299999999976
E01016848,E01016848,1660,0.1001,40.824,42459,216377.14663772227,0.0,0.0,False,166.166
E01033497,E01033497,2163,0.0545,25.725,46118,464791.80164495856,0.0,0.0,False,117.8835
E01033498,E01033498,2006,0.075,35.867,46118,281137.95121765573,0.0,0.0,False,150.45
E01033499,E01033499,2633,0.0528,38.056,57046,466448.8603307383,0.0,0.0,False,139.0224
E01033500,E01033500,2521,0.0395,17.513,57046,643643.9990817674,0.0,0.0,False,99.5795
E01033501,E01033501,2245,0.0407,8.577,66405,270110.62974960683,0.0,0.0,False,91.3715
E01033503,E01033503,2682,0.0458,7.004,82648,399101.09815854474,0.0,0.0,False,122.8356
E01033506,E01033506,2191,0.0392,7.276,66405,319196.66940951167,0.0,0.0,False,85.88719999999999
E01033508,E01033508,2875,0.0352,6.053,83825,349552.6837213365,0.0,0.0,False,101.2
E01033511,E01033511,1953,0.0453,12.432,82648,209162.2235777376,0.0,0.0,False,88.4709
E01033514,E01033514,1740,0.034,8.952,82345,259186.3069229235,0.0,0.0,False,59.160000000000004
E01033515,E01033515,1964,0.0385,8.767,82345,307375.1694693966,0.0,0.0,False,75.614
E01033517,E01033517,1537,0.0391,5.931,82345,246243.99271215408,0.0,0.0,False,60.096700000000006
E01033519,E01033519,4215,0.0361,11.089,74870,608977.299008783,0.0,0.0,False,152.1615
E01033520,E01033520,1823,0.0384,7.629,74870,262587.9446615266,0.0,0.0,False,70.00319999999999
E01033522,E01033522,2153,0.0455,18.486,74657,292932.7798282058,0.0,0.0,False,97.9615
E01033523,E01033523,1478,0.0414,12.932,74657,201520.1287814708,0.0,0.0,False,61.1892
E01034446,E01034446,1653,0.0434,,65600,274677.6495976498,0.0,0.0,False,71.7402
E01034447,E01034447,1255,0.0975,,65600,247177.0536086782,0.0,0.0,False,122.3625
E01034448,E01034448,1703,0.0327,,65600,202912.30625732968,0.0,0.0,False,55.6881
E01034449,E01034449,2363,0.0554,,59138,362156.5404458916,0.0,0.0,False,130.9102
E01034450,E01034450,1710,0.0438,,59138,223275.0095285324,0.0,0.0,False,74.898
E01034451,E01034451,6816,0.048,,69575,1059228.9961280786,0.0,0.0,False,327.168
E01034452,E01034452,2389,0.0552,,69575,356274.2767884323,0.0,0.0,False,131.87279999999998
E01034453,E01034453,2549,0.0285,,55692,327450.0997080617,0.0,0.0,False,72.6465
E01034454,E01034454,1897,0.1447,,55692,232482.9464561967,0.0,0.0,False,274.4959
E01034455,E01034455,2239,0.0286,,55692,238799.08713289417,0.0,0.0,False,64.0354
E01034456,E01034456,1923,0.0385,,82648,288310.5852153356,0.0,0.0,False,74.0355
E01034457,E01034457,2334,0.0424,,82648,428994.4091118343,0.0,0.0,False,98.9616
E01034458,E01034458,2683,0.0264,,83825,288529.62592072744,0.0,0.0,False,70.8312
E01034459,E01034459,2045,0.0313,,83825,258585.95050278216,0.0,0.0,False,64.0085
E01034460,E01034460,2301,0.0285,,83825,279149.22480225575,0.0,0.0,False,65.5785
E01034461,E01034461,1855,0.0415,,83825,184152.52804913023,0.0,0.0,False,76.9825
E01034462,E01034462,1354,0.0798,,74657,257402.2169442572,0.0,0.0,False,108.0492
E01034463,E01034463,2422,0.0334,,74657,317406.2847662002,0.0,0.0,False,80.8948
E01034464,E01034464,2108,0.0443,,74657,450910.811717845,0.0,0.0,False,93.3844
E01034465,E01034465,1963,0.0356999999999999,,74657,214876.66348903344,0.0,0.0,False,70.0790999999998
E01034466,E01034466,3684,0.0308,,77951,435664.0144047708,0.0,0.0,False,113.4672
E01034467,E01034467,2168,0.0479,,77951,304563.5973981338,0.0,0.0,False,103.8472
E01034468,E01034468,1114,0.0361,,77951,66482.13752713524,0.0,0.0,False,40.2154
