lsoa_id,lsoa_name,lad_name,population,income_avg,poverty_index,base_demand_kw,ec_count_SA,asset_total_mw_SA,active_SA,ec_count_SB,asset_total_mw_SB,active_SB,ec_count_SC,asset_total_mw_SC,active_SC,ec_count_SD,asset_total_mw_SD,active_SD
E01016801,E01016801,Milton Keynes,1336,65600,0.1374,296442.56767347833,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016802,E01016802,Milton Keynes,1444,65600,0.115,455587.0129120193,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016803,E01016803,Milton Keynes,1395,65600,0.1314,452778.6585354444,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016804,E01016804,Milton Keynes,2009,50459,0.0888,391093.4924507821,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016805,E01016805,Milton Keynes,1289,60538,0.0389,205152.04759333987,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016806,E01016806,Milton Keynes,1982,49056,0.1301,256972.3835778623,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016807,E01016807,Milton Keynes,1860,49056,0.1018,243329.41579022876,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016808,E01016808,Milton Keynes,1411,60538,0.0642,197276.0382663372,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016809,E01016809,Milton Keynes,1363,49056,0.0933,192891.28916086516,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016810,E01016810,Milton Keynes,1501,45500,0.1057,184259.62794433208,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016811,E01016811,Milton Keynes,1515,45500,0.1518,189349.80953102777,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016812,E01016812,Milton Keynes,1553,59138,0.0808,226454.4686322581,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016813,E01016813,Milton Keynes,1388,63704,0.0596999999999999,390561.44942236174,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016815,E01016815,Milton Keynes,1289,63704,0.046,161364.5914739128,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016816,E01016816,Milton Keynes,1587,63704,0.0378,245328.09800758553,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016817,E01016817,Milton Keynes,1494,59138,0.1141,210205.75397671983,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016818,E01016818,Milton Keynes,1827,59138,0.1042,362025.24301781575,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016819,E01016819,Milton Keynes,1329,45500,0.1408,148253.4077638047,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016820,E01016820,Milton Keynes,1936,66412,0.0455999999999999,359320.90688549535,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016821,E01016821,Milton Keynes,1580,66412,0.0467999999999999,192156.61526623744,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016822,E01016822,Milton Keynes,1826,65264,0.0556,343620.9038082942,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016823,E01016823,Milton Keynes,1709,66412,0.0624,379474.03489657387,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016824,E01016824,Milton Keynes,1578,65264,0.045,300284.9831405795,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016825,E01016825,Milton Keynes,1459,65264,0.0579,273946.85609015124,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016826,E01016826,Milton Keynes,1317,69575,0.0355,246455.0628471442,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016827,E01016827,Milton Keynes,1679,65264,0.0434,241797.5543272952,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016828,E01016828,Milton Keynes,1667,65264,0.0385999999999999,275414.91095453745,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016829,E01016829,Milton Keynes,1609,56546,0.1036,211202.9633605307,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016830,E01016830,Milton Keynes,1215,56282,0.0399,177206.64851598174,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016831,E01016831,Milton Keynes,1506,56546,0.0785,245139.7389493973,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016832,E01016832,Milton Keynes,1267,56546,0.0901,172988.43523903974,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016833,E01016833,Milton Keynes,1235,56546,0.0511,240755.30186952613,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016834,E01016834,Milton Keynes,1674,56546,0.1047,230148.59508383847,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016835,E01016835,Milton Keynes,1834,49056,0.1124,281996.21152281854,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016836,E01016836,Milton Keynes,1756,56643,0.1246,222473.22019986509,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016837,E01016837,Milton Keynes,1890,56643,0.1341,273569.57458579727,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016838,E01016838,Milton Keynes,1633,56643,0.1332,230888.96696671416,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016839,E01016839,Milton Keynes,1935,45500,0.1153,238951.20048905845,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016841,E01016841,Milton Keynes,2613,56643,0.099,371727.42920191144,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016842,E01016842,Milton Keynes,1550,46118,0.1551,194672.57126718565,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016843,E01016843,Milton Keynes,1690,46118,0.1515,217128.4875009357,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016844,E01016844,Milton Keynes,1716,46118,0.1614,277347.8690944931,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016845,E01016845,Milton Keynes,1811,42459,0.1351,257509.08201649337,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016846,E01016846,Milton Keynes,1703,42459,0.1015,188343.08258352647,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016847,E01016847,Milton Keynes,2233,45395,0.1009999999999999,289194.2321580958,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016848,E01016848,Milton Keynes,1660,42459,0.1001,216377.14663772227,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01033497,E01033497,Milton Keynes,2163,46118,0.0545,464791.80164495856,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01033498,E01033498,Milton Keynes,2006,46118,0.075,281137.95121765573,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01033499,E01033499,Milton Keynes,2633,57046,0.0528,466448.8603307383,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01033500,E01033500,Milton Keynes,2521,57046,0.0395,643643.9990817674,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01033501,E01033501,Milton Keynes,2245,66405,0.0407,270110.62974960683,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01033503,E01033503,Milton Keynes,2682,82648,0.0458,399101.09815854474,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01033506,E01033506,Milton Keynes,2191,66405,0.0392,319196.66940951167,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01033508,E01033508,Milton Keynes,2875,83825,0.0352,349552.6837213365,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01033511,E01033511,Milton Keynes,1953,82648,0.0453,209162.2235777376,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01033514,E01033514,Milton Keynes,1740,82345,0.034,259186.3069229235,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01033515,E01033515,Milton Keynes,1964,82345,0.0385,307375.1694693966,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01033517,E01033517,Milton Keynes,1537,82345,0.0391,246243.99271215408,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01033519,E01033519,Milton Keynes,4215,74870,0.0361,608977.299008783,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01033520,E01033520,Milton Keynes,1823,74870,0.0384,262587.9446615266,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01033522,E01033522,Milton Keynes,2153,74657,0.0455,292932.7798282058,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01033523,E01033523,Milton Keynes,1478,74657,0.0414,201520.1287814708,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01034446,E01034446,Milton Keynes,1653,65600,0.0434,274677.6495976498,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01034447,E01034447,Milton Keynes,1255,65600,0.0975,247177.0536086782,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01034448,E01034448,Milton Keynes,1703,65600,0.0327,202912.30625732968,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01034449,E01034449,Milton Keynes,2363,59138,0.0554,362156.5404458916,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
